Metabolite;Volume;Time;CV mice CLZ data;Used for fitting
P_si3;0.3;5;0.395;
P_si3;0.3;7;0.198;
P_si3;0.3;9;0.293;
P_si3;0.3;12;0.337;
M2_serum;30;0;0.01;
M2_serum;30;0.5;NaN;
M2_serum;30;1;NaN;
M2_serum;30;1.5;NaN;
M2_serum;30;2;NaN;
M2_serum;30;2.5;NaN;
M2_serum;30;3;0.328;
M2_serum;30;5;0.198;
M2_serum;30;7;0.154;
M2_serum;30;9;0.193;
M2_serum;30;12;0.077;
M2_urine;2;0;0.227;
M2_urine;2;0.5;NaN;
M2_urine;2;1;NaN;
M2_urine;2;1.5;NaN;
M2_urine;2;2;NaN;
M2_urine;2;2.5;NaN;
M2_urine;2;3;1.257;
M2_urine;2;5;4.352;
M2_urine;2;7;6.565;
M2_urine;2;9;7.447;
M2_urine;2;12;3.461;
